label	ref_count	ref_count_raw	ref_avg_int	ref_avg_gap	ref_coverage	query_count	query_count_raw	query_avg_int	query_avg_gap	query_coverage	overlaps_count
orig1	101	6521	2408031.6435643565	27965355.05882353	0.07856477391902099	116	247	4186642.327586207	22307922.23931624	0.15688020596637026	54
orig2	9340	13948	29065.504282655245	302345.10245155764	0.08769383041904626	3132	3132	35581.89846743295	952516.7270986275	0.035999392432818515	1009
orig3	24888	59758	8792.23469141755	115587.45931937805	0.07068602695867718	19333	19358	1939.9334816117519	158175.89107272163	0.012115194514330746	2642
orig4	4994	4994	610.9331197436925	619144.4268268269	0.0009855678076059174	27180	59758	4241.190912435614	109650.19105257349	0.03723759089146334	344
