label	method	t	mem
orig1	perm_nc/10000	215.38	140268.0
orig1	direct_eigen	1.29	138636.0
orig1	dp/10000	0.69	60152.0
orig1	dp/1000	6.71	214268.0
orig2	perm_nc/10000	6792.62	142828.0
orig2	direct_eigen	101.61	141340.0
orig2	dp/10000	546.93	962520.0
orig2	dp/1000	5102.33	9153296.0
orig3	perm_nc/10000	44155.24	157140.0
orig3	direct_eigen	682.14	155768.0
orig3	dp/10000	9115.37	2562548.0
orig3	dp/1000	93262.35	2649520.0
orig4	perm_nc/10000	61051.42	153748.0
orig4	direct_eigen	34.31	152004.0
orig4	dp/10000	3045.62	208984.0
orig4	dp/1000	32035.49	1204320.0
