label	direct_eigen
CGD-rec.all.exon!inclusive.loss	0.9999999972610776
CGD-rec.all.exon!stringent.both	1.0000000170549084
CGD-rec.all.exon!stringent.gain	0.9137595452887715
CGD-rec.all.exon!stringent.loss	0.9999999967004716
CGD-rec.all.intron!inclusive.both	0.9999506751665111
CGD-rec.all.intron!inclusive.gain	0.9131654310834869
CGD-rec.all.intron!inclusive.loss	0.9999998082358212
CGD-rec.all.intron!stringent.both	1.0000000142938072
CGD-rec.all.intron!stringent.gain	0.8986131126755238
CGD-rec.all.intron!stringent.loss	0.9999999973030517
CGD-rec.all.trans!inclusive.both	0.9454736621700014
CGD-rec.all.trans!inclusive.gain	0.7435208666590057
CGD-rec.all.trans!inclusive.loss	0.9986292846284435
CGD-rec.all.trans!stringent.both	0.9999971538966279
CGD-rec.all.trans!stringent.gain	0.9867946499891521
CGD-rec.all.trans!stringent.loss	0.9999993346740463
CGD-rec.lex-smallest.cds!inclusive.both	0.9931730600546892
CGD-rec.lex-smallest.cds!inclusive.gain	0.8248699289574128
CGD-rec.lex-smallest.cds!inclusive.loss	0.9999388367394748
CGD-rec.lex-smallest.cds!stringent.both	0.9999977020327327
CGD-rec.lex-smallest.cds!stringent.gain	0.9952551238349483
CGD-rec.lex-smallest.cds!stringent.loss	0.99999953256219
CGD-rec.lex-smallest.exon!inclusive.both	0.9999998098819366
CGD-rec.lex-smallest.exon!inclusive.gain	0.9684689665483569
CGD-rec.lex-smallest.exon!inclusive.loss	1.0000000023805027
CGD-rec.lex-smallest.exon!stringent.both	1.000000014674929
CGD-rec.lex-smallest.exon!stringent.gain	0.9603548233003838
CGD-rec.lex-smallest.exon!stringent.loss	0.9999999969289566
CGD-rec.lex-smallest.intron!inclusive.both	0.999997315948179
CGD-rec.lex-smallest.intron!inclusive.gain	0.9748529131139074
CGD-rec.lex-smallest.intron!inclusive.loss	0.9999999988209066
CGD-rec.lex-smallest.intron!stringent.both	1.0000000136063827
CGD-rec.lex-smallest.intron!stringent.gain	0.9639254514877962
CGD-rec.lex-smallest.intron!stringent.loss	0.9999999971841549
CGD-rec.lex-smallest.trans!inclusive.both	0.9890708569485194
